Lipid_name,Amine,Tail,Delivery_target,Route_of_administration,Purity,Batch_or_individual,Experiment_weight,Mix_type
A29-T3 ,RM_carbonate_A29,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A37-T8 ,RM_carbonate_A37,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A49-T9 ,RM_carbonate_A49,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T7 ,RM_carbonate_A4,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A26-T7 ,RM_carbonate_A26,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A32-T7 ,RM_carbonate_A32,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A1-T7 ,RM_carbonate_A1,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T2 ,RM_carbonate_A63,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A16-T10 ,RM_carbonate_A16,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A50-T8 ,RM_carbonate_A50,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A63-T9 ,RM_carbonate_A63,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A4-T4 ,RM_carbonate_A4,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A71-T4 ,RM_carbonate_A71,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A48-T8 ,RM_carbonate_A48,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A12-T9 ,RM_carbonate_A12,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A2-T1 ,RM_carbonate_A2,RM_carbonate_T1 ,hela,in_vitro,Crude,Individual,1,Hand
A45-T5 ,RM_carbonate_A45,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A45-T8 ,RM_carbonate_A45,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A6-T6 ,RM_carbonate_A6,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A41-T5 ,RM_carbonate_A41,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A70-T5 ,RM_carbonate_A70,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A7-T6 ,RM_carbonate_A7,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A48-T7 ,RM_carbonate_A48,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T3 ,RM_carbonate_A15,RM_carbonate_T3 ,hela,in_vitro,Crude,Individual,1,Hand
A52-T2 ,RM_carbonate_A52,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A27-T2 ,RM_carbonate_A27,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A9-T8 ,RM_carbonate_A9,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A34-T10 ,RM_carbonate_A34,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
A20-T4 ,RM_carbonate_A20,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A48-T6 ,RM_carbonate_A48,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A38-T9 ,RM_carbonate_A38,RM_carbonate_T9 ,hela,in_vitro,Crude,Individual,1,Hand
A70-T6 ,RM_carbonate_A70,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A52-T5 ,RM_carbonate_A52,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A20-T5 ,RM_carbonate_A20,RM_carbonate_T5 ,hela,in_vitro,Crude,Individual,1,Hand
A29-T6 ,RM_carbonate_A29,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A70-T7 ,RM_carbonate_A70,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A38-T8 ,RM_carbonate_A38,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A10-T2 ,RM_carbonate_A10,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T6 ,RM_carbonate_A21,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A21-T7 ,RM_carbonate_A21,RM_carbonate_T7 ,hela,in_vitro,Crude,Individual,1,Hand
A15-T4 ,RM_carbonate_A15,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A13-T2 ,RM_carbonate_A13,RM_carbonate_T2 ,hela,in_vitro,Crude,Individual,1,Hand
A19-T8 ,RM_carbonate_A19,RM_carbonate_T8 ,hela,in_vitro,Crude,Individual,1,Hand
A30-T6 ,RM_carbonate_A30,RM_carbonate_T6 ,hela,in_vitro,Crude,Individual,1,Hand
A70-T4 ,RM_carbonate_A70,RM_carbonate_T4 ,hela,in_vitro,Crude,Individual,1,Hand
A27-T10 ,RM_carbonate_A27,RM_carbonate_T10 ,hela,in_vitro,Crude,Individual,1,Hand
